verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
仝晓燕,21192,0.3591,110,26,2365698.462,42.42307692,10,2,0,0,35,2278683570
邱箫婵,21917,0.36,110,151,540607.1523,38.25827815,54,5,217,0,35,1886828047
吴家欣,20284,0.3518,339,5080,31033.09843,34.06122047,285,110,0,4582.9766,35,1723026325
郭晓燕,19549,0.3889,163,240,334294.75,37.58333333,62,11,0,0,35,1842695183
侯骏桀,17237,0.3657,145,276,411527.3913,25.5615942,50,5,0,0,35,1272945011
于飞,24322,0.3737,335,705,130887.4043,67.48794326,201,14,0,0,35,1959375693
李溯,26061,0.3589,334,2231,66338.91528,59.92873151,763,56,0,0,35,1764312905
宫小萌,18859,0.3533,318,2499,66948.21128,45.06122449,569,66,0,0,35,1583451501
孔盈智,26526,0.3554,216,1023,147423.9883,46.72336266,260,37,0,0,35,1357875907
应媛,19762,0.3777,486,2309,66333.521,45.33997401,706,378,0,0,35,1736731364
王靖,28645,0.4033,353,1948,67844.72279,36.14579055,592,89,0,0,35,1906364843
刘爽,21778,0.3776,407,1038,115367.8613,44.02697495,398,53,0,0,35,1619586480
张丹锋,20329,0.3569,352,809,192651.9159,85.93448702,278,4,0,0,35,1559081642
薛芷伦,19416,0.3271,121,323,359554.3653,69.80495356,34,0,0,0,35,1871120702
曹兰,21590,0.3424,134,310,108695.4194,44.83225806,34,27,0,0,35,2246135244
马泽涵,20520,0.3539,223,227,495918.5022,32.61674009,59,3,0,0,35,2257401393
丛竹一,22830,0.3695,403,1187,112114.9284,46.43723673,404,39,0,0,35,1871756331
焦之雯,18636,0.3626,755,4260,30098.77465,54.14061033,1555,142,947,14,35,1969326787
庞轶文,19385,0.3816,268,87,176984.1379,27.5862069,21,0,47,0,35,1680758452
唐滤晶,17325,0.3492,141,412,274464.3204,39.12621359,127,18,0,0,35,1561501090
邓伦,19151,0.3552,171,404,244766.2871,39.93316832,214,14,0,0,35,1865901305
杨启宇,19795,0.3701,140,0,0,0,0,0,0,0,35,1703952972
于小龙,28950,0.3749,225,422,255216.1137,32.84834123,108,9,0,0,35,2448279060
林韦辰,22857,0.3488,80,246,536636.3415,24.60569106,15,1,0,266.75,35,1898640363
山崎敬一,21165,0.3699,220,37,3221652.973,53.7027027,14,0,0,0,35,2009012537
王佳妮,19040,0.3596,277,982,158657.169,36.96435845,195,18,0,0,35,1218395805
馨月,19480,0.378,463,1341,90200.13423,54.650261,370,45,0,0,35,2118228844
周奕彤,19032,0.3637,166,100,781086.6,42.22,30,1,0,0,35,1745740044
刘潇,19579,0.3872,258,363,301595.5372,23.04683196,92,8,0,0,35,1165518041
徐子翔,18070,0.3705,334,1276,99759.35737,40.36990596,261,36,0,0,35,1648910051
沈璐,24638,0.3503,146,262,412844.1985,93.7480916,121,4,0,0,35,1927831332
杨晨,20557,0.3604,80,939,122225.3035,47.01810437,211,99,0,0,35,1827235283
刘悦怡,35396,0.4214,790,1065,106963.3239,39.69201878,292,54,0,0,35,2067107991
李佳伟,25771,0.397,401,1655,68958.34441,42.5347432,392,178,0,0,35,2270636152
曹雨,21221,0.3611,349,2885,41630.68284,48.98925477,801,97,0,0,35,1262895867
李海粒,24516,0.3988,493,34,3875348.824,24.29411765,7,2,0,0,35,1858730847
臧晋,19027,0.3694,150,1538,69618.80364,48.89726918,498,81,0,261.625,35,1629737565
徐荷媛,19903,0.3714,235,5652,22564.07643,42.63145789,1654,277,0,0,35,1747954075
陈天华,24271,0.3644,165,302,294528.0795,34.48013245,47,9,617,251.6,35,1221281814
张歌洋,19276,0.3662,213,697,242739.2539,61.2625538,204,4,0,0,35,1251695374
吴佳佳,19695,0.3748,378,3248,48755.9298,39.03910099,415,76,0,0,35,1258390685
彭紫烊,17612,0.3435,58,1062,128878.5311,39.88323917,289,11,0,0,35,1753227087
蒙超,25874,0.3705,171,124,562797.0968,21.79032258,25,5,24,15337.9443,35,2219805941
刘子玄,21815,0.352,230,729,172292.5103,32.03292181,113,41,0,0,35,1874104594
薛皓文,25299,0.3657,150,117,932010.7692,29.78632479,23,3,62,1991.625,35,2193732421
车彦博,20786,0.3679,329,448,343809.2411,31.13392857,107,12,0,0,35,1266134460
王中皇,19081,0.3314,413,730,162855.2055,80.98493151,398,6,0,0,35,2106546102
杨淑娅,20168,0.3658,261,239,281202.4268,60.59414226,66,2,0,0,35,1651871464
杨江凯,21013,0.3826,326,710,203976.507,28.12112676,267,69,174,6644.9443,35,1783565113
孙锡坤,28437,0.4376,1907,391,407679.4373,60.24040921,105,0,0,0,35,1602572963
麦家琪,18480,0.3425,72,251,462417.3705,56.26693227,44,11,0,0,36,1845375070
杨姣,22176,0.3323,572,4168,29232.14971,50.29462572,1254,181,192,15.6,36,1722042984
张家荣,43335,0.4473,1838,674,176452.5223,50.21958457,132,43,0,0,36,2156245482
寇振海,16656,0.3109,15,24,2829747.5,27.5,5,1,0,0,36,1847227751
吴欣恩,27519,0.3819,360,978,129749.3865,60.56748466,404,45,9301,0,36,1998943795
郭雨程,19384,0.3652,786,564,136323.9362,55.34751773,155,6,0,0,36,1671877810
张丹露,18539,0.344,98,898,125092.3831,41.72160356,278,278,0,0,36,2316704244
江健,20148,0.3646,431,2035,71654.38821,51.56805897,641,163,0,0,36,1765386471
李骁,19420,0.3627,194,104,1003584.808,35.21153846,24,8,0,0,36,1285844855
朱文超,17879,0.3594,109,124,940470.9677,44.94354839,43,2,0,0,36,1260174957
